Date,AAPL,AMZN,GOOG,MSFT
8/15/2014,91.301308,333.630005,570.343933,40.471806
8/18/2014,92.400871,334.529999,578.976501,40.760952
8/19/2014,93.677475,335.130005,583.650757,41.215572
8/20/2014,93.71476,335.779999,581.293762,40.870064
8/21/2014,93.724068,332.910004,580.179871,41.115551
8/22/2014,94.413635,331.589996,579.374268,41.05191
8/25/2014,94.618637,334.019989,577.027222,41.070084
8/26/2014,94.012939,341.829987,574.700012,40.92461
8/27/2014,95.168411,343.179993,567.877502,40.797325
8/28/2014,95.280251,340.019989,566.087341,40.806412
8/29/2014,95.513176,339.040009,568.474243,41.306503
9/2/2014,96.258659,342.380005,574.172913,40.997349
9/3/2014,92.195854,339,574.779541,40.87915
9/4/2014,91.431755,345.950012,578.797485,41.151928
9/5/2014,92.223808,346.380005,582.875061,41.742931
9/8/2014,91.655396,342.339996,586.495117,42.252102
9/9/2014,91.310616,329.75,577.832764,42.515781
9/10/2014,94.115448,331.329987,579.911316,42.588512
9/11/2014,94.516129,330.519989,578.170898,42.73399
9/12/2014,94.730461,331.190002,572.472229,42.461224
9/15/2014,94.702477,323.890015,569.966003,42.042976
9/16/2014,93.984978,327.76001,576.778564,42.515781
9/17/2014,94.655922,324,581.572205,42.297562
9/18/2014,94.851601,325,586.047607,42.443039
9/19/2014,94.078171,331.320007,592.820374,43.206787
9/22/2014,94.171349,324.5,584.157959,42.788544
9/23/2014,95.643654,323.630005,577.952087,42.333927
9/24/2014,94.814316,328.209991,584.774597,42.806736
9/25/2014,91.198814,321.929993,571.915283,41.86113
9/26/2014,93.882469,323.209991,573.944153,42.197548
9/29/2014,93.286087,321.820007,573.208191,42.224815
9/30/2014,93.882469,322.440002,574.202698,42.152081
10/1/2014,92.41951,317.459991,565.162415,41.733841
10/2/2014,93.090416,318.410004,566.962524,41.606533
10/3/2014,92.829514,322.73999,572.134094,41.906597
10/6/2014,92.829514,322.200012,574.192749,41.906597
10/7/2014,92.018806,316.980011,560.657227,41.397415
10/8/2014,93.929092,322.700012,569.369324,42.533962
10/9/2014,94.134064,315.369995,557.812866,41.688377
10/10/2014,93.863831,311.390015,541.512451,40.033554
10/13/2014,93.006561,306.450012,530.294128,39.688061
10/14/2014,92.018806,308.309998,534.998291,39.760796
10/15/2014,90.891273,305.970001,527.131531,39.297092
10/16/2014,89.698524,302.859985,521.641724,38.860664
10/17/2014,91.012421,303.640015,508.374695,39.669868
10/20/2014,92.959969,306.209991,517.991821,40.079033
10/21/2014,95.485252,315.329987,523.660645,40.806412
10/22/2014,95.969803,312.970001,529.796875,40.351803
10/23/2014,97.68438,313.179993,541.005249,40.933704
10/24/2014,98.047798,287.059998,536.828247,41.942963
10/27/2014,97.94529,289.970001,537.812805,41.742931
10/28/2014,99.464172,295.589996,545.898376,42.270283
10/29/2014,100.023285,294.119995,546.325989,42.388481
10/30/2014,99.687836,299.070007,547.300659,41.870224
10/31/2014,100.638283,305.459991,556.022705,42.688526
11/3/2014,101.942863,305.720001,552.183777,43.134045
11/4/2014,101.197388,302.809998,551.079895,43.252254
11/5/2014,101.439667,296.519989,542.934631,43.515923
11/6/2014,101.72979,296.640015,539.075867,44.279686
11/7/2014,102.019913,299.859985,538.051514,44.261497
11/10/2014,101.851456,305.109985,544.496094,44.452438
11/11/2014,102.665672,312.01001,547.280762,44.434258
11/12/2014,104.116295,311.51001,544.317078,44.352428
11/13/2014,105.585594,316.480011,542.397583,45.10709
11/14/2014,106.858391,327.820007,541.422974,45.079815
11/17/2014,106.680573,323.049988,533.576111,44.970707
11/18/2014,108.065674,324.929993,532.104187,44.595566
11/19/2014,107.316971,326.540009,534.053467,44.119785
11/20/2014,108.851807,330.540009,531.905273,44.558968
11/21/2014,109.001556,332.630005,534.560669,43.900188
11/24/2014,111.023064,335.640015,536.321045,43.54335
11/25/2014,110.059097,335.040009,538.121094,43.433556
11/26/2014,111.369316,333.570007,537.414978,43.689739
11/28/2014,111.303802,338.640015,538.867004,43.744652
12/1/2014,107.69133,326,530.88092,44.485767
12/2/2014,107.279541,326.309998,530.831177,44.339375
12/3/2014,108.496193,316.5,528.41449,43.991688
